match_id;champion;win;queue_id;game_duration;patch;kills;deaths;assists;kda;role;lane;gold_earned;gold_spent;total_minions;neutral_minions;total_damage;physical_damage;magic_damage;true_damage;damage_taken;damage_healed;vision_score;wards_placed;wards_killed;vision_wards;turret_kills;inhibitor_kills;dragon_kills;baron_kills;rift_herald_kills;item_0;item_1;item_2;item_3;item_4;item_5;item_6;primary_rune_tree;secondary_rune_tree;rune_0_0;rune_0_1;rune_0_2;rune_0_3;rune_1_0;rune_1_1
LA2_1505818960;Yone;1;420;29;15.10.680.4378;0;14;1;0.07142857142857142;TOP;TOP;7592;6750;110;16;13909;10283;2481;1144;30384;3964;11;6;0;0;2;0;0;0;0;1055;3077;3006;3153;1028;1036;3340;8000;8400;8008;9101;9104;8299;8451;8444
LA2_1505851529;KSante;0;420;27;15.10.680.4378;8;8;2;1.25;UTILITY;BOTTOM;9478;9200;67;0;13405;11667;819;917;31120;4688;26;10;4;2;1;0;0;0;0;3877;3190;3110;3047;3050;1028;3364;8400;8000;8439;8463;8444;8451;9111;8299
LA2_1505860465;KSante;1;420;32;15.10.680.4378;2;11;10;10.909.090.909.090.900;UTILITY;BOTTOM;9956;9750;57;4;12392;11222;969;200;34279;3059;48;15;6;2;2;0;0;0;0;3877;3190;3110;3174;1033;3050;3364;8400;8000;8439;8463;8444;8451;8299;9111
LA2_1505897117;KSante;1;420;8;15.10.680.4378;0;2;0;0.0;UTILITY;NONE;1784;1750;17;0;1116;1022;94;0;3858;166;3;3;0;0;0;0;0;0;0;3865;3067;1033;0;0;0;3340;8400;8000;8437;8463;8444;8451;8299;9111
LA2_1505904190;Leblanc;0;420;22;15.10.680.4378;1;7;3;0.5714285714285714;TOP;TOP;7101;6292;137;0;7934;2922;4385;627;15963;1986;13;8;1;1;0;0;0;0;0;2020;1036;3158;3087;1036;0;3340;8000;8100;8021;8009;9105;8017;8106;8143
LA2_1506004973;KSante;0;420;29;15.10.680.4378;2;12;12;11.666.666.666.666.600;UTILITY;BOTTOM;9228;8750;83;0;16171;13152;249;2769;38793;5534;22;7;5;2;1;0;0;0;0;3877;3190;3075;3047;3050;0;3364;8400;8000;8465;8463;8444;8451;8299;9111
LA2_1506013238;KSante;0;420;31;15.10.680.4378;5;10;1;0.6;UTILITY;MIDDLE;10049;9200;88;2;27194;22095;2791;2308;40128;5327;32;11;3;2;1;0;0;0;0;3877;3050;1057;3111;6665;3066;3364;8400;8000;8437;8401;8444;8451;8299;9111
LA2_1506014915;Shaco;0;420;15;15.10.680.4378;2;3;1;1.0;JUNGLE;NONE;4738;4575;15;58;3029;1126;1151;751;10766;5067;10;3;3;3;0;0;0;0;0;1102;3142;3009;1036;0;0;3364;8100;8300;9923;8143;8137;8105;8304;8347
LA2_1506022619;Diana;0;420;24;15.10.680.4378;1;10;1;0.2;JUNGLE;JUNGLE;7958;7700;31;75;7823;1309;5825;689;25096;5543;6;0;1;0;1;0;0;0;0;1102;6653;3020;4633;0;0;3364;8000;8100;8010;9111;9104;8014;8143;8135
LA2_1508913243;Trundle;1;420;37;15.11.685.5259;6;11;4;0.9090909090909091;TOP;TOP;21245;19043;340;35;30067;25276;3706;1084;61719;34683;28;13;2;2;7;3;0;0;0;3153;3074;3173;3181;3078;3065;3340;8000;8400;8008;9111;9104;8299;8473;8446
