queue_id,win,champion,role,game_duration,kills,deaths,assists,lane_minions,jungle_minions,vision_score,wards_placed,wards_killed,control_wards_placed,min5_gold,min5_cs,min5_gold_diff,min5_xp_diff,min5_cs_diff,min10_gold,min10_cs,min10_gold_diff,min10_xp_diff,min10_cs_diff,min15_gold,min15_cs,min15_gold_diff,min15_xp_diff,min15_cs_diff,match_num,history_wr_global,history_wr_champ,CS_per_min,KDA,total_wards_placed,wards_per_min,vs_per_min,is_MMR_check,racha_previa
420,0,Thresh,UTILITY,28.47,1,7,15,35,0,62,30,7,7,1300,6,197,-167,0,2611.0,16.0,-407,-463,0,4229.0,26.0,-127,589,6,1496633937,0.5,0.5,1.23,2.29,37,1.2996136283807518,2.1777309448542326,0,0
420,0,Darius,JUNGLE,37.02,6,9,7,62,194,44,7,9,5,1667,32,-232,245,8,3641.0,68.0,-4,653,19,5346.0,111.0,77,818,40,1496645695,0.0,0.5,6.92,1.44,12,0.32414910858995133,1.1885467314964884,0,-1
420,0,Galio,UTILITY,17.88,0,5,2,25,0,26,13,1,1,1138,8,-154,-208,4,2496.0,17.0,-575,-698,9,3552.0,24.0,-999,-1574,12,1496663226,0.0,0.5,1.4,0.4,14,0.7829977628635347,1.45413870246085,0,-2
420,0,Trundle,TOP,28.32,2,10,3,153,0,21,11,1,2,1299,18,-283,-278,-18,2484.0,35.0,-2117,-1382,-39,3527.0,52.0,-3599,-3143,-75,1504933509,0.6,0.5,5.4,0.5,13,0.4590395480225989,0.7415254237288136,0,-3
420,1,Trundle,TOP,24.78,3,5,1,195,4,19,10,2,2,1813,28,292,143,-1,3795.0,67.0,837,80,2,5911.0,119.0,1052,-305,17,1504950555,0.5909090909090909,0.0,8.03,0.8,12,0.48426150121065376,0.7667473769168685,0,-4
420,0,Trundle,TOP,31.45,6,5,6,193,47,29,13,5,2,1601,25,-272,-173,-1,4166.0,56.0,687,-141,-2,6461.0,96.0,834,-601,-11,1504979176,0.5970149253731343,0.5,7.63,2.4,15,0.4769475357710652,0.9220985691573927,0,1
420,0,Trundle,JUNGLE,31.85,2,6,5,49,155,30,2,6,2,1757,28,128,41,-6,3223.0,55.0,-56,-263,-9,4511.0,80.0,-679,-509,-12,1505092219,0.5882352941176471,0.3333333333333333,6.41,1.17,4,0.12558869701726844,0.9419152276295133,0,-1
420,0,Trundle,TOP,26.6,4,6,1,211,16,13,8,0,0,1462,30,-324,-161,2,3388.0,70.0,485,1075,17,6155.0,115.0,563,281,14,1505102521,0.5797101449275363,0.25,8.53,0.83,8,0.3007518796992481,0.48872180451127817,0,-2
420,0,Trundle,TOP,31.77,0,11,2,210,8,16,9,3,0,1364,24,-649,-582,-3,2822.0,60.0,-1475,-682,-16,4076.0,91.0,-3097,-2955,-37,1505734077,0.5714285714285714,0.2,6.86,0.18,9,0.28328611898017,0.5036197670758578,0,-3
420,0,Nasus,TOP,21.92,1,10,0,80,0,3,2,0,0,1189,13,-730,-429,-15,2893.0,42.0,-899,-589,-35,3958.0,68.0,-2744,-2806,-57,1505738988,0.5633802816901409,0.5,3.65,0.1,2,0.09124087591240876,0.13686131386861314,0,-4
420,0,Ryze,MIDDLE,29.15,2,14,2,170,0,16,9,1,1,1783,26,91,216,1,3158.0,56.0,-584,-1047,-5,4449.0,74.0,-2063,-2720,-16,1505748433,0.5555555555555556,0.5,5.83,0.29,10,0.3430531732418525,0.548885077186964,0,-5
420,0,Smolder,BOTTOM,24.8,1,9,2,116,0,9,6,0,0,1329,21,-340,-238,-3,2932.0,56.0,-371,-334,1,3881.0,77.0,-1920,-1025,-28,1505811838,0.547945205479452,0.3333333333333333,4.68,0.33,6,0.24193548387096772,0.3629032258064516,0,-6
420,1,Yone,TOP,29.98,0,14,1,110,16,11,6,0,0,1399,26,-404,-227,-1,2744.0,66.0,-1282,-1201,6,3724.0,84.0,-2807,-2988,-28,1505818960,0.5405405405405406,0.5,4.2,0.07,6,0.200133422281521,0.3669112741827885,0,-7
420,0,KSante,UTILITY,27.05,8,8,2,67,0,26,10,4,1,1250,10,-429,-355,7,4041.0,29.0,727,247,24,5453.0,35.0,565,-523,23,1505851529,0.5466666666666666,0.5,2.48,1.25,11,0.4066543438077634,0.9611829944547134,0,1
420,1,KSante,UTILITY,32.35,2,11,10,57,4,48,15,6,2,1109,8,-415,-381,2,2400.0,23.0,-696,-3,7,4472.0,36.0,-526,761,18,1505860465,0.5394736842105263,0.0,1.89,1.09,17,0.5255023183925811,1.4837712519319937,0,-1
420,0,Leblanc,TOP,22.68,1,7,3,137,0,13,8,1,1,2014,23,480,-107,7,3490.0,64.0,-212,-228,19,5248.0,110.0,171,-76,33,1505904190,0.5454545454545454,0.5,6.04,0.57,9,0.3968253968253968,0.5731922398589065,0,1
420,0,KSante,UTILITY,29.57,2,12,12,83,0,22,7,5,1,1261,7,-575,-710,2,2406.0,21.0,-1310,-478,9,3601.0,36.0,-1872,-1039,19,1506004973,0.5384615384615384,0.5,2.81,1.17,8,0.2705444707473791,0.7439972945552925,0,-1
420,0,KSante,UTILITY,31.3,5,10,1,88,2,32,11,3,2,1202,14,-430,-107,5,3138.0,30.0,-230,-180,13,5316.0,51.0,522,671,20,1506013238,0.5316455696202531,0.3333333333333333,2.88,0.6,13,0.41533546325878595,1.0223642172523961,0,-2
420,0,Diana,JUNGLE,24.67,1,10,1,31,75,6,0,1,0,1353,19,-181,-121,-4,2893.0,46.0,-1069,-1091,-15,4137.0,67.0,-2979,-2239,-41,1506022619,0.525,0.5,4.3,0.2,0,0.0,0.2432103769760843,0,-3
420,1,Trundle,TOP,37.33,6,11,4,340,35,28,13,2,2,1521,28,-603,-196,-1,3090.0,60.0,-1719,-1587,-15,5603.0,98.0,-1525,-1455,-28,1508913243,0.5185185185185185,0.16666666666666666,10.05,0.91,15,0.40182159121350125,0.7500669702652023,0,-4
420,1,Trundle,TOP,27.05,6,0,6,212,27,31,9,8,2,1567,28,147,373,2,3757.0,72.0,775,826,17,5922.0,114.0,1529,1069,21,1508935308,0.524390243902439,0.2857142857142857,8.84,12.0,11,0.4066543438077634,1.146025878003697,0,1
420,1,Trundle,TOP,32.42,7,7,6,185,28,17,10,2,0,1273,19,-542,-83,-12,2529.0,45.0,-2379,-2011,-40,5233.0,77.0,-2108,-1484,-57,1508945367,0.5301204819277109,0.375,6.57,1.86,10,0.3084515731030228,0.5243676742751388,0,2
420,1,Trundle,TOP,28.12,5,4,5,196,19,26,9,5,3,1870,29,510,662,5,3310.0,68.0,475,565,-1,5983.0,104.0,979,787,5,1508955647,0.5357142857142857,0.4444444444444444,7.65,2.5,12,0.4267425320056899,0.9246088193456614,1,3
420,0,Trundle,TOP,24.53,4,9,1,148,0,12,8,1,1,1222,17,-570,-263,-9,2879.0,51.0,-1248,-533,-18,4315.0,88.0,-3102,-1733,-35,1509277016,0.5411764705882353,0.5,6.03,0.56,9,0.36689767631471665,0.48919690175295555,0,4
420,1,Smolder,BOTTOM,26.83,7,4,10,175,12,17,9,3,3,1444,25,-154,-297,-9,2860.0,62.0,-1125,-751,-14,5443.0,103.0,-110,-27,-16,1509278532,0.5348837209302325,0.25,6.97,4.25,12,0.44726052925829296,0.6336190831159151,0,-1
420,0,Blitzcrank,UTILITY,36.2,1,5,17,23,8,104,49,7,8,1210,6,77,-114,3,2391.0,11.0,128,-881,3,3637.0,16.0,-243,-2277,-3,1515605910,0.5333333333333333,0.5,0.86,3.6,57,1.5745856353591159,2.87292817679558,0,1
420,0,Ezreal,BOTTOM,34.48,3,4,2,231,4,26,14,5,4,1528,29,-140,-135,-9,2837.0,64.0,-836,-86,-24,4464.0,88.0,-1576,-662,-41,1515620572,0.5274725274725275,0.5,6.82,1.25,18,0.5220417633410673,0.7540603248259862,0,-1
420,1,Trundle,TOP,37.02,6,12,7,254,16,34,16,0,4,1694,22,-1,-312,6,3239.0,54.0,-443,-540,-1,4619.0,88.0,-1186,-1596,0,1515634178,0.5217391304347826,0.45454545454545453,7.29,1.08,20,0.5402485143165856,0.9184224743381955,0,-2
