match_id;champion;win;queue_id;game_duration;patch;kills;deaths;assists;kda;role;lane;gold_earned;gold_spent;total_minions;neutral_minions;total_damage;physical_damage;magic_damage;true_damage;damage_taken;damage_healed;vision_score;wards_placed;wards_killed;vision_wards;turret_kills;inhibitor_kills;dragon_kills;baron_kills;rift_herald_kills;item_0;item_1;item_2;item_3;item_4;item_5;item_6;primary_rune_tree;secondary_rune_tree;rune_0_0;rune_0_1;rune_0_2;rune_0_3;rune_1_0;rune_1_1
LA2_1525550636;Leona;0;440;18;15.16.704.6097;0;3;10;33.333.333.333.333.300;UTILITY;NONE;5117;4900;24;0;6059;1932;3566;560;10782;1730;31;17;3;2;0;0;0;0;0;3877;2003;3190;1029;3047;1029;3364;8400;8000;8439;8463;8444;8451;9105;9111
LA2_1525555882;Malphite;0;440;44;15.16.704.6097;5;6;14;31.666.666.666.666.600;TOP;MIDDLE;16268;17775;315;4;32218;6831;24668;718;41733;3176;36;19;0;5;1;0;0;0;0;6665;4401;3105;2504;3174;3068;3340;8200;8400;8229;8226;8210;8237;8451;8444
LA2_1525575312;Alistar;1;440;38;15.16.704.6097;0;7;15;2.142.857.142.857.140;UTILITY;BOTTOM;9813;9050;42;0;8136;904;7112;120;32942;15576;111;57;11;8;1;0;0;0;0;3869;3190;4638;3109;3170;3067;3364;8300;8400;8360;8306;8345;8347;8473;8242
LA2_1525592948;Braum;0;440;25;15.16.704.6097;1;5;6;1.4;UTILITY;BOTTOM;6147;5650;19;0;6061;548;5512;0;20769;3402;55;34;3;2;0;0;0;0;0;3876;3190;3047;3067;1029;0;3364;8400;8300;8465;8463;8473;8242;8345;8347
LA2_1525604517;Braum;1;440;33;15.16.704.6097;5;2;18;11.5;UTILITY;BOTTOM;11643;9225;36;0;16085;1667;12360;2058;26540;5748;85;35;9;5;0;1;0;0;0;3876;3190;4638;3109;3076;3174;3364;8400;8300;8465;8463;8473;8242;8345;8347
LA2_1525616240;Blitzcrank;1;440;31;15.16.704.6097;2;5;23;5.0;UTILITY;JUNGLE;9965;8700;21;4;10783;4260;5693;830;22501;4902;77;38;6;12;0;0;1;0;0;3869;3190;2055;3109;3170;3082;3364;8300;8200;8351;8306;8345;8347;8234;8275
LA2_1525736827;Nautilus;0;440;23;15.16.704.6097;2;5;2;0.8;UTILITY;BOTTOM;5513;5175;25;0;3652;871;2370;410;12349;374;61;19;9;5;0;0;0;0;0;3869;3190;2055;3067;3047;0;3364;8400;8300;8439;8401;8473;8242;8345;8347
LA2_1525750089;Braum;1;440;32;15.16.704.6097;1;4;21;5.5;UTILITY;BOTTOM;9753;8425;29;0;9842;1266;8508;68;29539;9128;83;43;7;11;0;0;0;0;0;3876;3190;2055;3109;3174;3076;3364;8400;8000;8465;8463;8473;8242;9105;9111
LA2_1525761309;Braum;0;440;29;15.16.704.6097;1;5;13;2.8;UTILITY;BOTTOM;8683;8200;27;0;9606;1980;7625;0;27700;6445;58;29;7;8;0;0;0;0;0;3876;3190;2055;3109;3174;1057;3364;8400;8000;8465;8463;8473;8242;9105;9111
LA2_1525770973;Thresh;1;440;31;15.16.704.6097;1;4;13;3.5;UTILITY;BOTTOM;8228;7100;25;2;9216;794;7510;912;18532;1662;70;29;5;4;0;0;0;0;0;3876;3190;3109;0;3174;0;3364;8400;8300;8439;8463;8473;8242;8345;8347
LA2_1525787647;Trundle;0;440;28;15.16.704.6097;4;4;17;5.25;JUNGLE;JUNGLE;11507;10733;12;157;13797;10788;2142;866;42867;26537;22;3;2;4;1;0;3;0;0;3742;2055;3078;3111;3065;0;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1525801297;Trundle;0;440;29;15.16.704.6097;6;5;7;2.6;JUNGLE;JUNGLE;10770;10108;21;124;15574;12689;2033;851;44971;21853;33;5;8;5;2;0;2;0;0;3742;3211;3067;3078;3111;0;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1525813438;Trundle;0;440;29;15.16.704.6097;1;6;9;16.666.666.666.666.600;JUNGLE;JUNGLE;8880;8608;8;129;12581;10264;1995;321;35620;18935;17;3;3;3;0;0;1;0;0;3742;1033;3111;3078;1006;0;3364;8000;8300;8005;9111;9104;8014;8410;8304
LA2_1525833085;Blitzcrank;0;440;27;15.16.704.6097;0;3;18;6.0;UTILITY;BOTTOM;6846;5675;20;0;10412;4232;5285;895;18669;3954;75;34;9;9;1;0;0;0;0;3869;2065;0;3009;3067;1029;3364;8300;8200;8351;8306;8345;8347;8234;8275
LA2_1525868376;Blitzcrank;0;440;26;15.16.704.6097;1;5;7;1.6;UTILITY;BOTTOM;6197;5725;19;0;5756;1655;3687;413;21199;2704;56;25;6;5;0;0;0;0;0;3869;3024;3190;3009;1029;1029;3364;8300;8200;8351;8306;8345;8347;8234;8275
LA2_1525875011;Ezreal;1;440;27;15.16.704.6097;6;3;12;6.0;BOTTOM;BOTTOM;10283;9158;142;4;25963;16567;9395;0;18920;5770;14;8;0;1;1;1;0;0;0;1055;3042;3078;3171;2021;0;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1525887567;Ezreal;1;440;25;15.16.704.6097;1;4;9;2.5;BOTTOM;BOTTOM;8696;7583;146;0;17284;12240;4652;391;12416;2793;6;9;0;2;0;0;0;0;0;3078;0;3158;3042;1055;0;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1525892245;Vayne;0;440;31;15.16.704.6097;4;2;7;5.5;BOTTOM;BOTTOM;11517;11575;215;0;11281;8622;409;2249;18459;6893;31;13;5;3;1;0;0;0;0;3091;3124;1042;3153;1036;3006;3363;8000;8400;8008;9111;9104;8014;8429;8451
LA2_1525897780;Braum;0;440;30;15.16.704.6097;1;6;6;11.666.666.666.666.600;UTILITY;BOTTOM;7328;6450;40;0;5673;723;4949;0;24772;5008;52;16;7;2;0;0;0;0;0;3876;3190;3067;3076;3047;1031;3364;8400;8000;8465;8463;8473;8242;9105;9111
LA2_1525910894;Thresh;1;440;37;15.16.704.6097;4;7;20;34.285.714.285.714.200;UTILITY;BOTTOM;11426;10775;42;2;13678;1705;10726;1247;32735;5161;80;38;6;7;0;0;0;0;0;3876;3190;4638;3109;3170;3110;3364;8400;8300;8439;8463;8473;8242;8345;8347
LA2_1525920676;Sejuani;1;440;37;15.16.704.6097;11;0;22;33.0;JUNGLE;JUNGLE;16083;14400;37;179;25359;14309;8673;2376;58895;34095;33;8;2;6;1;1;3;1;0;3083;1011;3110;3047;3050;3075;3364;8400;8100;8439;8463;8429;8451;8126;8106
LA2_1525936528;Thresh;1;440;15;15.16.704.6097;1;2;9;5.0;UTILITY;NONE;4505;3200;17;0;4140;791;3348;0;6736;1294;20;11;1;2;1;0;0;0;0;3876;0;3067;1033;1029;3009;3364;8400;8300;8439;8463;8473;8242;8345;8347
LA2_1525941929;Thresh;0;440;33;15.16.704.6097;2;6;11;21.666.666.666.666.600;UTILITY;BOTTOM;8379;8075;34;0;10331;1878;8452;0;33115;6477;78;33;10;7;0;0;0;0;0;3876;3190;3114;3109;3067;3009;3364;8400;8300;8439;8463;8473;8242;8345;8347
LA2_1525956620;Rakan;0;440;38;15.16.704.6097;0;4;12;3.0;UTILITY;BOTTOM;9506;8850;22;0;5491;867;4465;158;29102;15042;108;54;6;14;1;0;0;0;0;3869;3190;2065;3114;3067;3171;3364;8300;8100;8351;8321;8345;8347;8137;8106
LA2_1525976236;Sejuani;0;440;31;15.16.704.6097;4;8;7;1.375;JUNGLE;JUNGLE;9577;9125;5;129;16741;8331;7074;1336;41482;13804;27;5;3;5;0;0;1;0;0;3068;1033;1006;3174;3050;1057;3364;8400;8100;8439;8463;8429;8451;8126;8106
LA2_1526001290;Ezreal;1;440;32;15.16.704.6097;18;4;10;7.0;BOTTOM;BOTTOM;16813;14813;194;12;36458;25957;9837;663;20352;6986;14;6;5;2;1;0;1;0;0;3161;2055;3171;3042;6694;3078;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1526017476;Ezreal;0;440;28;15.16.704.6097;2;6;8;16.666.666.666.666.600;BOTTOM;BOTTOM;9772;9558;172;4;20927;14167;5908;852;17559;3333;12;9;2;1;0;0;0;0;0;3035;1036;3042;3158;3078;2022;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1526031475;Ezreal;0;440;29;15.16.704.6097;2;4;2;1.0;BOTTOM;BOTTOM;8890;7883;170;0;18173;12978;5030;164;16481;4072;14;10;0;2;1;0;0;0;0;1055;3042;3078;3158;1036;0;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1526042538;Thresh;1;440;44;15.16.704.6097;2;4;16;4.5;UTILITY;BOTTOM;11322;10360;33;0;11765;1570;10156;38;30508;4751;136;75;5;11;0;0;0;0;0;3876;3190;4638;3109;3009;3067;3364;8400;8300;8439;8463;8473;8242;8345;8347
LA2_1526057558;Thresh;1;440;39;15.16.704.6097;3;7;19;3.142.857.142.857.140;UTILITY;BOTTOM;11290;10400;31;0;13600;1319;10270;2009;37103;8170;108;52;9;12;0;0;0;0;0;3876;3190;3107;4638;3109;3009;3364;8400;8300;8439;8463;8473;8242;8345;8347
LA2_1526102322;Braum;0;440;30;15.16.704.6097;2;6;22;4.0;UTILITY;BOTTOM;9100;8100;19;0;11375;2954;8345;76;32943;8307;80;39;4;10;0;0;0;0;0;3876;3190;2055;3109;3111;3082;3364;8400;8300;8465;8463;8473;8242;8345;8347
LA2_1526109656;Thresh;0;440;27;15.16.704.6097;4;9;12;17.777.777.777.777.700;UTILITY;BOTTOM;8378;7375;34;0;8813;1121;6775;916;24565;1858;69;27;13;3;0;0;0;0;0;3876;3190;3109;3067;3009;1029;3364;8400;8300;8439;8463;8473;8242;8345;8347
LA2_1526120617;Sejuani;1;440;29;15.16.704.6097;5;2;25;15.0;JUNGLE;JUNGLE;12433;11800;17;125;13223;7694;5103;426;29065;16977;29;6;4;6;2;0;1;0;0;2502;3211;3050;1057;3111;3075;3364;8400;8000;8439;8463;8429;8451;9104;9111
